id,tweet,target
1024,قوم کے لیے پرانے خاندانی نمک حرام ہیں ,1
1919,اور پھر بھی ان خنزیروں کو بغض نواز میں سپورٹ کرتا رہا اس کو ان سے…  ,0
102,پاکستان کے قبضے میں اسرائیلی پائلٹ ہے۔,0
679,اور نواز شریف کا نواسہ مستقبل کا وزیر اعظم ,0
2093,صرف ٹویٹر پہ بکواس کرنا ہی آسان ہے ,0
1028,پاکستان کشمیوں کو مشکل وقت میں تنہا نہیں چھوڑے گا، جبکہ سندھیوں، بلوچوں، پشتونوں کو زندہ نہیں چھوڑے گا ,0
2097,ایسے مادرچود یوتھئے ہیں کہ کشمیر ہاتھہ سے نکل رہا ہے لیکن یوتھئے ابھی بھی کشمیر کی ثالثی پر نیازی کی واہ واہ کررہے ,1
2297, نکل بھوسڑی کے مادرچود گانڈو  ,1
2572,کشمیر بیچنے والے کتو  ,1
3313,یہ ہے عالمی سازش اور ہمارےسلیکٹڈ اور سلیکٹرز کےمنہ پر سعودی عرب کا شرمناک طمانچہ  ,0
2597,کسی کتی کی بچے، مادرچود بہت ہی گھٹیا ہو تم، حرام کی پیداوار ہو تم ,1
1893,یہ کیا بکواس ہے اس سے بہتر ہے انکو گھر بھیج دیں ان کنجروں کی تو موجیں لگی ہوئی ہیں نیب کیا ڈرامہ کر رہا ہے,1
405, آج میرا دل خدا کی قسم خون کے آنسو رویا ہے جب میں نے قبرستان میں قبروں کی یہ حالت دیکھی ہے   ,0
1232,لعنت تمھارے ٹوٹ کرنے پر بے شرمی کی انتہا ہے تمھارے اندر۔,1
2092, یہ رنڈی پاکستان وآپس آئے تو عوام کو چاہیئے جہاں بھی نظر آئے اس کو پکڑ کہ اس رنڈی کی گانڈ کا کیڑا مارے  ,1
896,جاو اور جاکر کشمیر میں کشمیریوں کے ساتھ مل کر جنگ کرو۔… ,0
807,جنرل باجوہ کا نام سن کر مودی کی ٹانگیں کانپتی ہیں آرمی چیف نے پُلوامہ میں بھارتی فوج کو ڈنڈا دیا  ,0
1315,کیسی خبیث انسان تھی جسکے مرنے کی ہمیں خوشی ہوئی ہے یہ لعنتی مودی پتا نہیں کب مرے گا کتے کی موت ۔,1
916, مجھے یہ مادرچود شروع سے ہی برا لگتا تھا ، زندگی کا پہلا ووٹ دیا اس اس بار سلیکشن میں ,1
2730, گورایہ گٹر کی پیداوار  ,1
944, فوجیستان بس ایک ہی کام آتا ھےالطاف بھائی کےاوپر پابندی لگا دو گھر پر تالا ڈال دو  ,0
1305,مریم نواز کو احتساب عدالت بلا کر صرف سیکنڈز میں دن کا ریمانڈ دلوانا ہی تو تیز ترین کاروائی ہے ,0
1249,یہ وہ مادرچود ہیں جن کی پارلمنٹ کی بلڈنگ بھی پاکستان نے بھیک میں بنا کے دی تھی  ,1
331, اپنی بکواس بند کرو ,1
1746, گھسرا گھسرے کی گانڈ مارے تو مزہ کس کو آۓ گا  ,1
560,بھول کر بھی تم لوگوں کی زبان پر نہیں آئے گا ,0
